id,label
u482636600888,human
u245864237086,human
u60428349295,human
u692746184228,human
u859406555464,human
u167968188716,human
u336259293705,human
u7778065346,human
u552997290522,human
u247658937036,human
u165254779314,human
u998448463001,human
u946514837029,human
u193289072672,human
u11046590050,human
u336290897476,human
u371714929480,human
u103258967049,human
u465579964959,human
u769106075747,human
u195653533672,human
u17994724906,human
u135750519597,human
u630720338415,human
u387969537747,human
u373793053615,human
u543300845835,human
u6518840726,human
u438398032016,human
u387534606776,human
u555710213586,human
u16754575088,human
u137818028779,human
u114229269779,human
u353910172398,human
u45259261312,human
u717685501669,human
u912041171511,human
u253151418394,human
u881266769643,human
u37165239774,human
u749408292153,human
